review_id,category,rating,review
1,Books,2,Terrible product. Broke after two days of use. Complete waste of money. Really.
2,Kitchen,4,Excellent quality and fast delivery. Very satisfied with my purchase. For sure.
3,Sports,4,Excellent quality and fast delivery. Very satisfied with my purchase. Really.
4,Toys,1,Horrible product. Instructions are unclear and it barely functions.
5,Sports,1,Poor quality and extremely overpriced. I regret buying this item. Indeed.
6,Toys,4,Really happy with this item. Great customer service too. Five stars! Really.
7,Clothing,4,"Fantastic item! Easy to use, durable, and worth every penny. Really."
8,Clothing,4,Best purchase I've made this year. Highly recommend this to anyone looking for quality. Totally.
9,Kitchen,1,Extremely flimsy and poorly made. Returned it immediately.
10,Sports,5,"Brilliant product, does exactly what it says. Quick delivery and well packaged."
11,Books,5,This exceeded my expectations. The packaging was perfect and the item is beautiful. For sure.
12,Electronics,1,Terrible product. Broke after two days of use. Complete waste of money. Totally.
13,Kitchen,3,Average experience. The product meets basic requirements.
14,Clothing,5,This exceeded my expectations. The packaging was perfect and the item is beautiful. Really.
15,Toys,5,This exceeded my expectations. The packaging was perfect and the item is beautiful.
16,Toys,1,"Not worth the money at all. Cheap plastic, bad smell, and doesn't work. For sure."
17,Toys,5,"Perfect product, arrived quickly and works great. Very pleased with the quality. Totally."
18,Books,2,This product is a scam. Nothing like the pictures. Do not buy!
19,Kitchen,3,"Ok product. Arrived on time. Does what it says on the box, nothing more. Totally."
20,Toys,5,Great value for money. The build quality is superb and it works flawlessly. Really.
21,Clothing,5,"Brilliant product, does exactly what it says. Quick delivery and well packaged. Really."
22,Sports,5,"Absolutely love this product! It's stylish, functional, and very well made."
23,Books,5,Incredible quality at a reasonable price. I am thoroughly impressed. Totally.
24,Kitchen,3,Decent product for the price. Not amazing but not terrible either. For sure.
25,Toys,4,This product is absolutely amazing! I love it and would highly recommend it to everyone. Really.
26,Electronics,5,This exceeded my expectations. The packaging was perfect and the item is beautiful. For sure.
27,Clothing,5,Incredible quality at a reasonable price. I am thoroughly impressed. For sure.
28,Toys,3,Average experience. The product meets basic requirements.
29,Clothing,2,Deeply unsatisfied. Item looked nothing like the description or photos.
30,Electronics,4,Best purchase I've made this year. Highly recommend this to anyone looking for quality. Indeed.
31,Clothing,3,Mediocre quality overall. Fine for everyday use but nothing special.
32,Sports,3,"Ok product. Arrived on time. Does what it says on the box, nothing more. Really."
33,Clothing,3,Average experience. The product meets basic requirements.
34,Books,3,The product is satisfactory. Some improvements could be made. For sure.
35,Sports,4,Superb craftsmanship. Looks and feels premium. Would definitely recommend. For sure.
36,Kitchen,3,"It's an acceptable purchase. Some things work well, others not so much. Totally."
37,Books,5,"Brilliant product, does exactly what it says. Quick delivery and well packaged. Totally."
38,Toys,4,"Brilliant product, does exactly what it says. Quick delivery and well packaged."
39,Toys,4,Excellent quality and fast delivery. Very satisfied with my purchase. Really.
40,Sports,4,Wonderful product! My whole family loves it. Will definitely buy again. Totally.
41,Sports,3,Fairly standard item. Gets the job done without any extra features. Really.
42,Toys,3,The item is functional but lacks the premium feel I was hoping for. Really.
43,Sports,5,This exceeded my expectations. The packaging was perfect and the item is beautiful. Indeed.
44,Clothing,4,Great value for money. The build quality is superb and it works flawlessly.
45,Books,4,Wonderful product! My whole family loves it. Will definitely buy again. For sure.
46,Electronics,4,"Absolutely love this product! It's stylish, functional, and very well made. Really."
47,Electronics,3,Average experience. The product meets basic requirements. Totally.
48,Sports,5,"Fantastic item! Easy to use, durable, and worth every penny. Really."
49,Kitchen,5,"Brilliant product, does exactly what it says. Quick delivery and well packaged. Really."
50,Electronics,3,It's alright. Serves its purpose but don't expect anything extraordinary.
51,Kitchen,2,Do not buy this. It stopped working after one week. Very frustrating. Indeed.
52,Toys,3,The product is okay. Nothing special but does what it's supposed to do.
53,Kitchen,3,Average quality. It works fine for basic tasks but nothing impressive.
54,Books,1,Extremely flimsy and poorly made. Returned it immediately. Really.
55,Books,4,"Perfect product, arrived quickly and works great. Very pleased with the quality. Indeed."
56,Sports,4,Great value for money. The build quality is superb and it works flawlessly. Indeed.
57,Books,4,This exceeded my expectations. The packaging was perfect and the item is beautiful.
58,Kitchen,5,"Perfect product, arrived quickly and works great. Very pleased with the quality. Really."
59,Electronics,3,Decent product for the price. Not amazing but not terrible either. Indeed.
60,Clothing,3,Reasonable product. Has some minor issues but generally acceptable. Indeed.
61,Books,5,"Absolutely love this product! It's stylish, functional, and very well made. Really."
62,Clothing,4,This product is absolutely amazing! I love it and would highly recommend it to everyone.
63,Sports,5,Incredible quality at a reasonable price. I am thoroughly impressed. For sure.
64,Electronics,4,Wonderful product! My whole family loves it. Will definitely buy again. Really.
65,Electronics,1,Deeply unsatisfied. Item looked nothing like the description or photos. Indeed.
66,Sports,3,"It's an acceptable purchase. Some things work well, others not so much. Really."
67,Toys,1,"Not worth the money at all. Cheap plastic, bad smell, and doesn't work. Indeed."
68,Books,2,Horrible product. Instructions are unclear and it barely functions. Totally.
69,Kitchen,1,Do not buy this. It stopped working after one week. Very frustrating. Totally.
70,Clothing,5,This exceeded my expectations. The packaging was perfect and the item is beautiful. Indeed.
71,Electronics,3,Mediocre quality overall. Fine for everyday use but nothing special.
72,Sports,4,Incredible quality at a reasonable price. I am thoroughly impressed.
73,Electronics,4,"Fantastic item! Easy to use, durable, and worth every penny. Totally."
74,Books,3,"The product works as expected. Nothing more, nothing less. Totally."
75,Toys,5,Wonderful product! My whole family loves it. Will definitely buy again. For sure.
76,Electronics,5,This exceeded my expectations. The packaging was perfect and the item is beautiful.
77,Electronics,3,Decent product for the price. Not amazing but not terrible either. Totally.
78,Books,3,The item is functional but lacks the premium feel I was hoping for. For sure.
79,Clothing,4,Incredible quality at a reasonable price. I am thoroughly impressed.
80,Kitchen,5,This exceeded my expectations. The packaging was perfect and the item is beautiful. For sure.
81,Toys,4,"Brilliant product, does exactly what it says. Quick delivery and well packaged."
82,Clothing,4,"Fantastic item! Easy to use, durable, and worth every penny."
83,Books,3,A middle-of-the-road product. Not bad for occasional use. Totally.
84,Electronics,2,Horrible product. Instructions are unclear and it barely functions. For sure.
85,Electronics,4,"Brilliant product, does exactly what it says. Quick delivery and well packaged. For sure."
86,Books,3,"It's an acceptable purchase. Some things work well, others not so much. For sure."
87,Electronics,5,This product is absolutely amazing! I love it and would highly recommend it to everyone. Totally.
88,Books,3,It's alright. Serves its purpose but don't expect anything extraordinary.
89,Toys,2,Do not buy this. It stopped working after one week. Very frustrating. For sure.
90,Books,4,"Brilliant product, does exactly what it says. Quick delivery and well packaged. Really."
91,Toys,3,The product is okay. Nothing special but does what it's supposed to do. Really.
92,Toys,3,"Ok product. Arrived on time. Does what it says on the box, nothing more. Indeed."
93,Clothing,3,"Ok product. Arrived on time. Does what it says on the box, nothing more. Really."
94,Electronics,4,"Absolutely love this product! It's stylish, functional, and very well made. Indeed."
95,Kitchen,3,It's alright. Serves its purpose but don't expect anything extraordinary. Really.
96,Electronics,4,Really happy with this item. Great customer service too. Five stars! Really.
97,Electronics,2,Poor quality and extremely overpriced. I regret buying this item. Totally.
98,Toys,3,Reasonable product. Has some minor issues but generally acceptable. Totally.
99,Electronics,5,This exceeded my expectations. The packaging was perfect and the item is beautiful.
100,Sports,3,Reasonable product. Has some minor issues but generally acceptable. Really.
101,Electronics,3,Reasonable product. Has some minor issues but generally acceptable.
102,Sports,2,Do not buy this. It stopped working after one week. Very frustrating. Indeed.
103,Sports,3,Average quality. It works fine for basic tasks but nothing impressive. Indeed.
104,Sports,5,This product is absolutely amazing! I love it and would highly recommend it to everyone.
105,Toys,3,The product is satisfactory. Some improvements could be made.
106,Books,3,The item is functional but lacks the premium feel I was hoping for.
107,Clothing,5,Excellent quality and fast delivery. Very satisfied with my purchase. For sure.
108,Clothing,2,Very disappointing. The quality is poor and it doesn't work as advertised. For sure.
109,Clothing,2,Do not buy this. It stopped working after one week. Very frustrating.
110,Kitchen,2,This product is a scam. Nothing like the pictures. Do not buy!
111,Sports,1,Very bad product. Does not work. Would give zero stars if possible. For sure.
112,Clothing,4,Wonderful product! My whole family loves it. Will definitely buy again. Totally.
113,Kitchen,5,Superb craftsmanship. Looks and feels premium. Would definitely recommend. Indeed.
114,Books,5,Great value for money. The build quality is superb and it works flawlessly.
115,Books,2,Worst purchase ever. Cheap materials and terrible construction.
116,Electronics,1,This product is a scam. Nothing like the pictures. Do not buy! Really.
117,Kitchen,4,"Perfect product, arrived quickly and works great. Very pleased with the quality. Indeed."
118,Toys,3,"It's an acceptable purchase. Some things work well, others not so much. Really."
119,Books,2,This product is garbage. Fell apart immediately. Very unhappy customer. Really.
120,Books,1,Terrible product. Broke after two days of use. Complete waste of money. Indeed.
121,Sports,5,"Absolutely love this product! It's stylish, functional, and very well made."
122,Books,4,Really happy with this item. Great customer service too. Five stars! Indeed.
123,Sports,3,A middle-of-the-road product. Not bad for occasional use. For sure.
124,Toys,2,Extremely flimsy and poorly made. Returned it immediately. For sure.
125,Kitchen,3,Fairly standard item. Gets the job done without any extra features. For sure.
126,Kitchen,3,The item is functional but lacks the premium feel I was hoping for. Indeed.
127,Kitchen,5,Great value for money. The build quality is superb and it works flawlessly. For sure.
128,Toys,2,Worst purchase ever. Cheap materials and terrible construction.
129,Sports,5,"Fantastic item! Easy to use, durable, and worth every penny. Totally."
130,Toys,4,Outstanding product! Works perfectly and exceeded all my expectations. Indeed.
131,Kitchen,4,Great value for money. The build quality is superb and it works flawlessly. Indeed.
132,Books,5,"Perfect product, arrived quickly and works great. Very pleased with the quality."
133,Toys,3,Fairly standard item. Gets the job done without any extra features. For sure.
134,Electronics,5,"Brilliant product, does exactly what it says. Quick delivery and well packaged. Indeed."
135,Kitchen,3,Reasonable product. Has some minor issues but generally acceptable. Indeed.
136,Books,4,"Absolutely love this product! It's stylish, functional, and very well made. Indeed."
137,Clothing,4,"Perfect product, arrived quickly and works great. Very pleased with the quality. Indeed."
138,Books,2,Extremely flimsy and poorly made. Returned it immediately.
139,Sports,3,Mediocre quality overall. Fine for everyday use but nothing special. Really.
140,Sports,5,"Brilliant product, does exactly what it says. Quick delivery and well packaged. For sure."
141,Kitchen,2,Very disappointing. The quality is poor and it doesn't work as advertised. Really.
142,Books,5,"Fantastic item! Easy to use, durable, and worth every penny. Totally."
143,Kitchen,5,I'm very happy with this purchase. The product is exactly as described. Totally.
144,Toys,5,Excellent quality and fast delivery. Very satisfied with my purchase.
145,Electronics,4,I'm very happy with this purchase. The product is exactly as described.
146,Electronics,3,A middle-of-the-road product. Not bad for occasional use.
147,Sports,3,It's alright. Serves its purpose but don't expect anything extraordinary.
148,Electronics,5,Outstanding product! Works perfectly and exceeded all my expectations.
149,Clothing,2,This product is a scam. Nothing like the pictures. Do not buy!
150,Sports,3,Decent product for the price. Not amazing but not terrible either. For sure.
151,Books,3,The item is functional but lacks the premium feel I was hoping for.
152,Electronics,3,Average quality. It works fine for basic tasks but nothing impressive. For sure.
153,Kitchen,3,"It's an acceptable purchase. Some things work well, others not so much."
154,Sports,4,"Absolutely love this product! It's stylish, functional, and very well made."
155,Toys,1,Deeply unsatisfied. Item looked nothing like the description or photos.
156,Sports,3,Average experience. The product meets basic requirements.
157,Electronics,3,"Ok product. Arrived on time. Does what it says on the box, nothing more. For sure."
158,Sports,5,Best purchase I've made this year. Highly recommend this to anyone looking for quality.
159,Electronics,2,Terrible product. Broke after two days of use. Complete waste of money. Indeed.
160,Books,5,I'm very happy with this purchase. The product is exactly as described.
161,Sports,5,"Absolutely love this product! It's stylish, functional, and very well made. For sure."
162,Toys,3,Neither great nor terrible. Average build quality and average performance. Indeed.
163,Clothing,1,Do not buy this. It stopped working after one week. Very frustrating.
164,Sports,3,It's alright. Serves its purpose but don't expect anything extraordinary. Indeed.
165,Kitchen,2,Poor quality and extremely overpriced. I regret buying this item.
166,Books,3,Decent product for the price. Not amazing but not terrible either. Indeed.
167,Sports,5,"Fantastic item! Easy to use, durable, and worth every penny. Totally."
168,Books,1,Worst purchase ever. Cheap materials and terrible construction. For sure.
169,Sports,5,"Absolutely love this product! It's stylish, functional, and very well made. Indeed."
170,Toys,3,The item is functional but lacks the premium feel I was hoping for. Indeed.
171,Clothing,1,This product is garbage. Fell apart immediately. Very unhappy customer.
172,Toys,4,"Absolutely love this product! It's stylish, functional, and very well made. Totally."
173,Toys,2,This product is garbage. Fell apart immediately. Very unhappy customer. Indeed.
174,Clothing,2,Do not buy this. It stopped working after one week. Very frustrating. Totally.
175,Electronics,4,Excellent quality and fast delivery. Very satisfied with my purchase. Totally.
176,Books,1,Extremely flimsy and poorly made. Returned it immediately. Really.
177,Books,2,Worst purchase ever. Cheap materials and terrible construction.
178,Electronics,4,I'm very happy with this purchase. The product is exactly as described. Totally.
179,Electronics,2,Awful experience. The item arrived damaged and the seller was unhelpful.
180,Kitchen,1,"Broken on arrival, terrible customer support. Avoid this seller at all costs."
181,Kitchen,5,This product is absolutely amazing! I love it and would highly recommend it to everyone. Indeed.
182,Kitchen,4,Outstanding product! Works perfectly and exceeded all my expectations. Totally.
183,Electronics,5,Excellent quality and fast delivery. Very satisfied with my purchase. Indeed.
184,Books,1,Deeply unsatisfied. Item looked nothing like the description or photos. Really.
185,Books,3,Reasonable product. Has some minor issues but generally acceptable.
186,Sports,5,Superb craftsmanship. Looks and feels premium. Would definitely recommend. For sure.
187,Kitchen,3,It's alright. Serves its purpose but don't expect anything extraordinary. For sure.
188,Kitchen,5,"Perfect product, arrived quickly and works great. Very pleased with the quality. For sure."
189,Toys,4,Incredible quality at a reasonable price. I am thoroughly impressed. For sure.
190,Books,4,Superb craftsmanship. Looks and feels premium. Would definitely recommend.
191,Books,4,Excellent quality and fast delivery. Very satisfied with my purchase. Really.
192,Kitchen,1,Awful experience. The item arrived damaged and the seller was unhelpful. Indeed.
193,Books,2,This product is garbage. Fell apart immediately. Very unhappy customer.
194,Toys,5,"Fantastic item! Easy to use, durable, and worth every penny."
195,Electronics,4,"Fantastic item! Easy to use, durable, and worth every penny. Indeed."
196,Books,4,This exceeded my expectations. The packaging was perfect and the item is beautiful. Totally.
197,Toys,5,Outstanding product! Works perfectly and exceeded all my expectations. For sure.
198,Kitchen,3,Mediocre quality overall. Fine for everyday use but nothing special. Totally.
199,Kitchen,5,"Absolutely love this product! It's stylish, functional, and very well made."
200,Kitchen,3,The product is satisfactory. Some improvements could be made. For sure.
201,Toys,4,Incredible quality at a reasonable price. I am thoroughly impressed. Indeed.
202,Books,4,"Fantastic item! Easy to use, durable, and worth every penny."
203,Sports,3,Average experience. The product meets basic requirements. For sure.
204,Clothing,3,"Ok product. Arrived on time. Does what it says on the box, nothing more."
205,Sports,1,Extremely flimsy and poorly made. Returned it immediately. Indeed.
206,Sports,2,Very bad product. Does not work. Would give zero stars if possible. Really.
207,Kitchen,5,Really happy with this item. Great customer service too. Five stars!
208,Electronics,5,I'm very happy with this purchase. The product is exactly as described.
209,Toys,3,"The product works as expected. Nothing more, nothing less. Indeed."
210,Electronics,5,This exceeded my expectations. The packaging was perfect and the item is beautiful. For sure.
211,Electronics,5,I'm very happy with this purchase. The product is exactly as described. Totally.
212,Electronics,3,Fairly standard item. Gets the job done without any extra features. For sure.
213,Electronics,2,Horrible product. Instructions are unclear and it barely functions. Indeed.
214,Kitchen,5,I'm very happy with this purchase. The product is exactly as described.
215,Sports,3,It's alright. Serves its purpose but don't expect anything extraordinary. Totally.
216,Kitchen,5,"Fantastic item! Easy to use, durable, and worth every penny."
217,Books,4,This exceeded my expectations. The packaging was perfect and the item is beautiful.
218,Books,5,This product is absolutely amazing! I love it and would highly recommend it to everyone.
219,Kitchen,3,Mediocre quality overall. Fine for everyday use but nothing special.
220,Kitchen,3,A middle-of-the-road product. Not bad for occasional use. Really.
221,Toys,3,Reasonable product. Has some minor issues but generally acceptable. For sure.
222,Books,5,Really happy with this item. Great customer service too. Five stars! Indeed.
223,Sports,5,Outstanding product! Works perfectly and exceeded all my expectations. Really.
224,Clothing,4,"Brilliant product, does exactly what it says. Quick delivery and well packaged."
225,Clothing,3,Average experience. The product meets basic requirements. Indeed.
226,Electronics,3,The product is satisfactory. Some improvements could be made. Totally.
227,Kitchen,5,"Fantastic item! Easy to use, durable, and worth every penny. Really."
228,Sports,5,I'm very happy with this purchase. The product is exactly as described. For sure.
229,Toys,5,"Brilliant product, does exactly what it says. Quick delivery and well packaged. Really."
230,Electronics,4,Best purchase I've made this year. Highly recommend this to anyone looking for quality. Indeed.
231,Toys,5,"Perfect product, arrived quickly and works great. Very pleased with the quality. Indeed."
232,Kitchen,3,A middle-of-the-road product. Not bad for occasional use. Really.
233,Sports,3,Decent product for the price. Not amazing but not terrible either. For sure.
234,Sports,5,Excellent quality and fast delivery. Very satisfied with my purchase.
235,Books,3,The product is okay. Nothing special but does what it's supposed to do.
236,Kitchen,4,This exceeded my expectations. The packaging was perfect and the item is beautiful.
237,Sports,3,Reasonable product. Has some minor issues but generally acceptable. Totally.
238,Toys,1,Deeply unsatisfied. Item looked nothing like the description or photos. Totally.
239,Toys,3,Fairly standard item. Gets the job done without any extra features. Totally.
240,Electronics,2,Extremely flimsy and poorly made. Returned it immediately. For sure.
241,Toys,2,This product is a scam. Nothing like the pictures. Do not buy! Really.
242,Books,4,Excellent quality and fast delivery. Very satisfied with my purchase. Indeed.
243,Clothing,1,Very bad product. Does not work. Would give zero stars if possible.
244,Clothing,3,Reasonable product. Has some minor issues but generally acceptable. Totally.
245,Toys,5,Great value for money. The build quality is superb and it works flawlessly. For sure.
246,Electronics,3,Decent product for the price. Not amazing but not terrible either. Really.
247,Sports,1,Poor quality and extremely overpriced. I regret buying this item. Indeed.
248,Clothing,5,"Perfect product, arrived quickly and works great. Very pleased with the quality. Indeed."
249,Toys,2,Very bad product. Does not work. Would give zero stars if possible. Totally.
250,Sports,5,Excellent quality and fast delivery. Very satisfied with my purchase. Totally.
251,Clothing,5,Best purchase I've made this year. Highly recommend this to anyone looking for quality. Indeed.
252,Books,5,Best purchase I've made this year. Highly recommend this to anyone looking for quality.
253,Clothing,5,I'm very happy with this purchase. The product is exactly as described.
