Date,#Passengers
1949-01-12,112
1949-02-24,118
1949-03-22,132
1949-04-5,129
1949-05-24,121
1949-06-15,135
1949-07-8,148
1949-08-17,148
1949-09-3,136
1949-10-28,119
1949-11-11,104
1949-12-19,118
1950-01-7,115
1950-02-14,126
1950-03-21,141
1950-04-9,135
1950-05-16,125
1950-06-23,149
1950-07-4,170
1950-08-30,170
1950-09-12,158
1950-10-25,133
1950-11-6,114
1950-12-31,140
1951-01-18,145
1951-02-3,150
1951-03-26,178
1951-04-14,163
1951-05-20,172
1951-06-7,178
1951-07-11,199
1951-08-22,199
1951-09-5,184
1951-10-17,162
1951-11-28,146
1951-12-13,166
1952-01-25,171
1952-02-8,180
1952-03-15,193
1952-04-27,181
1952-05-10,183
1952-06-19,218
1952-07-6,230
1952-08-23,242
1952-09-14,209
1952-10-2,191
1952-11-20,172
1952-12-5,194
1953-01-16,196
1953-02-27,196
1953-03-11,236
1953-04-3,235
1953-05-29,229
1953-06-18,243
1953-07-24,264
1953-08-7,272
1953-09-21,237
1953-10-13,211
1953-11-4,180
1953-12-22,201
1954-01-10,204
1954-02-19,188
1954-03-28,235
1954-04-6,227
1954-05-15,234
1954-06-24,264
1954-07-3,302
1954-08-12,293
1954-09-26,259
1954-10-8,229
1954-11-17,203
1954-12-29,229
1955-01-4,242
1955-02-13,233
1955-03-9,267
1955-04-21,269
1955-05-7,270
1955-06-16,315
1955-07-25,364
1955-08-14,347
1955-09-28,312
1955-10-11,274
1955-11-23,237
1955-12-6,278
1956-01-20,284
1956-02-29,277
1956-03-7,317
1956-04-18,313
1956-05-2,318
1956-06-11,374
1956-07-19,413
1956-08-26,405
1956-09-9,355
1956-10-22,306
1956-11-30,271
1956-12-16,306
1957-01-5,315
1957-02-23,301
1957-03-17,356
1957-04-30,348
1957-05-12,355
1957-06-4,422
1957-07-27,465
1957-08-9,467
1957-09-20,404
1957-10-31,347
1957-11-15,305
1957-12-8,336
1958-01-26,340
1958-02-11,318
1958-03-6,362
1958-04-16,348
1958-05-22,363
1958-06-28,435
1958-07-13,491
1958-08-18,505
1958-09-3,404
1958-10-14,359
1958-11-25,310
1958-12-2,337
1959-01-21,360
1959-02-10,342
1959-03-19,406
1959-04-7,396
1959-05-31,420
1959-06-24,472
1959-07-29,548
1959-08-1,559
1959-09-15,463
1959-10-27,407
1959-11-9,362
1959-12-23,405
1960-01-14,417
1960-02-22,391
1960-03-4,419
1960-04-17,461
1960-05-27,472
1960-06-2,535
1960-07-2,622
1960-08-16,606
1960-09-14,508
1960-10-25,461
1960-11-8,390
1960-12-19,432
