<<<<<<< HEAD
Month,#Passengers
1949-01,112
1949-02,118
1949-03,132
1949-04,129
1949-05,121
1949-06,135
1949-07,148
1949-08,148
1949-09,136
1949-10,119
1949-11,104
1949-12,118
1950-01,115
1950-02,126
1950-03,141
1950-04,135
1950-05,125
1950-06,149
1950-07,170
1950-08,170
1950-09,158
1950-10,133
1950-11,114
1950-12,140
1951-01,145
1951-02,150
1951-03,178
1951-04,163
1951-05,172
1951-06,178
1951-07,199
1951-08,199
1951-09,184
1951-10,162
1951-11,146
1951-12,166
1952-01,171
1952-02,180
1952-03,193
1952-04,181
1952-05,183
1952-06,218
1952-07,230
1952-08,242
1952-09,209
1952-10,191
1952-11,172
1952-12,194
1953-01,196
1953-02,196
1953-03,236
1953-04,235
1953-05,229
1953-06,243
1953-07,264
1953-08,272
1953-09,237
1953-10,211
1953-11,180
1953-12,201
1954-01,204
1954-02,188
1954-03,235
1954-04,227
1954-05,234
1954-06,264
1954-07,302
1954-08,293
1954-09,259
1954-10,229
1954-11,203
1954-12,229
1955-01,242
1955-02,233
1955-03,267
1955-04,269
1955-05,270
1955-06,315
1955-07,364
1955-08,347
1955-09,312
1955-10,274
1955-11,237
1955-12,278
1956-01,284
1956-02,277
1956-03,317
1956-04,313
1956-05,318
1956-06,374
1956-07,413
1956-08,405
1956-09,355
1956-10,306
1956-11,271
1956-12,306
1957-01,315
1957-02,301
1957-03,356
1957-04,348
1957-05,355
1957-06,422
1957-07,465
1957-08,467
1957-09,404
1957-10,347
1957-11,305
1957-12,336
1958-01,340
1958-02,318
1958-03,362
1958-04,348
1958-05,363
1958-06,435
1958-07,491
1958-08,505
1958-09,404
1958-10,359
1958-11,310
1958-12,337
1959-01,360
1959-02,342
1959-03,406
1959-04,396
1959-05,420
1959-06,472
1959-07,548
1959-08,559
1959-09,463
1959-10,407
1959-11,362
1959-12,405
1960-01,417
1960-02,391
1960-03,419
1960-04,461
1960-05,472
1960-06,535
1960-07,622
1960-08,606
1960-09,508
1960-10,461
1960-11,390
1960-12,432
=======
Date,#Passengers
1949-01-12,112
1949-02-24,118
1949-03-22,132
1949-04-5,129
1949-05-24,121
1949-06-20,135
1949-07-7,148
1949-08-22,148
1949-09-2,136
1949-10-15,119
1949-11-16,104
1949-12-14,118
1950-01-15,115
1950-02-16,126
1950-03-18,141
1950-04-30,135
1950-05-17,125
1950-06-24,149
1950-07-30,170
1950-08-4,170
1950-09-9,158
1950-10-26,133
1950-11-19,114
1950-12-15,140
1951-01-28,145
1951-02-2,150
1951-03-8,178
1951-04-27,163
1951-05-1,172
1951-06-30,178
1951-07-10,199
1951-08-1,199
1951-09-10,184
1951-10-3,162
1951-11-24,146
1951-12-14,166
1952-01-7,171
1952-02-11,180
1952-03-9,193
1952-04-6,181
1952-05-15,183
1952-06-21,218
1952-07-13,230
1952-08-26,242
1952-09-21,209
1952-10-26,191
1952-11-18,172
1952-12-24,194
1953-01-16,196
1953-02-10,196
1953-03-21,236
1953-04-8,235
1953-05-24,229
1953-06-10,243
1953-07-24,264
1953-08-28,272
1953-09-19,237
1953-10-2,211
1953-11-10,180
1953-12-6,201
1954-01-17,204
1954-02-18,188
1954-03-17,235
1954-04-7,227
1954-05-16,234
1954-06-19,264
1954-07-2,302
1954-08-19,293
1954-09-2,259
1954-10-16,229
1954-11-12,203
1954-12-13,229
1955-01-21,242
1955-02-27,233
1955-03-3,267
1955-04-14,269
1955-05-22,270
1955-06-17,315
1955-07-9,364
1955-08-13,347
1955-09-25,312
1955-10-13,274
1955-11-8,237
1955-12-12,278
1956-01-28,284
1956-02-3,277
1956-03-3,317
1956-04-9,313
1956-05-17,318
1956-06-27,374
1956-07-26,413
1956-08-18,405
1956-09-29,355
1956-10-7,306
1956-11-23,271
1956-12-28,306
1957-01-21,315
1957-02-19,301
1957-03-5,356
1957-04-6,348
1957-05-13,355
1957-06-10,422
1957-07-2,465
1957-08-23,467
1957-09-5,404
1957-10-27,347
1957-11-19,305
1957-12-30,336
1958-01-17,340
1958-02-10,318
1958-03-12,362
1958-04-2,348
1958-05-18,363
1958-06-14,435
1958-07-13,491
1958-08-18,505
1958-09-29,404
1958-10-16,359
1958-11-21,310
1958-12-26,337
1959-01-22,360
1959-02-26,342
1959-03-8,406
1959-04-6,396
1959-05-14,420
1959-06-24,472
1959-07-29,548
1959-08-1,559
1959-09-6,463
1959-10-20,407
1959-11-30,362
1959-12-23,405
1960-01-20,417
1960-02-8,391
1960-03-26,419
1960-04-15,461
1960-05-27,472
1960-06-2,535
1960-07-2,622
1960-08-16,606
1960-09-14,508
1960-10-20,461
1960-11-26,390
1960-12-4,432
>>>>>>> 7c9b14c5c3de5fbbadafa043aba924eaecccde86
